gender,educ,partyid,taxpayer,percenttp,wagesal,child,wastecents,eitcself,eitcother,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec
2,6,1,1,83,1,0,61,3,3,2,2,2,1,56,1,2,2,4,4,4,6,5,1,39,51,1,12,0.784998321
1,3,5,1,52,1,0,77,3,4,6,4,2,1,21,1,2,1,4,2,1,3,1,1,5,26,1,12,0.3930594
2,1,9,2,40,1,0,97,1,3,4,8,4,2,4,2,3,4,4,4,4,6,5,3,7,36,1,1,0.341164062
1,1,4,1,61,1,0,80,3,1,1,2,2,1,33,1,2,2,4,2,2,3,1,1,23,32,1,16,0.631508565
1,3,6,1,70,1,2,80,1,3,7,5,2,2,20,2,1,1,4,2,4,3,5,4,10,62,3,14,5.000082764
1,4,7,1,99,1,0,75,3,1,6,7,1,1,76,1,4,1,4,2,1,3,1,1,47,15,1,14,0.74043831
1,5,2,1,36,1,1,42,3,3,1,4,2,2,40,2,3,3,4,3,1,3,1,1,43,36,4,6,1.103625348
2,3,2,1,100,1,2,61,1,2,2,2,4,1,3,1,3,3,4,1,2,3,1,1,14,38,1,10,0.984578453
2,4,7,1,85,1,0,5,3,3,8,6,4,1,50,1,4,6,4,4,4,6,1,3,2,45,1,11,0.718334602
2,3,4,1,90,1,0,88,1,2,6,2,3,1,40,2,2,2,4,1,4,6,1,1,6,17,1,6,0.574527399
1,2,2,1,79,1,0,86,3,3,6,8,3,1,0,1,5,3,4,2,2,6,1,1,21,8,1,10,0.631671616
1,2,4,1,40,1,0,87,3,1,6,4,2,1,5,1,2,2,4,1,2,1,1,1,29,20,1,14,0.460739774
2,6,5,1,61,0,4,98,1,2,1,6,2,1,12,1,2,5,4,1,1,3,1,1,24,41,1,17,2.96832296
2,2,4,1,70,1,0,60,2,3,2,4,3,1,60,1,2,4,4,1,2,1,1,1,17,26,1,13,0.631508565
2,6,1,2,50,1,0,40,3,2,8,2,2,1,75,1,2,2,3,2,1,3,5,4,33,22,1,20,0.516452651
1,5,1,1,90,1,0,40,1,1,1,2,1,1,19,1,1,4,4,2,1,3,5,1,11,38,2,11,2.016927406
2,3,1,2,70,1,1,83,1,4,4,3,3,1,0,1,4,3,5,1,4,6,5,3,36,39,1,1,0.782012106
1,2,3,1,70,1,0,80,4,2,2,4,3,1,19,1,2,2,4,2,1,6,1,3,10,21,1,6,0.432154266
2,2,4,1,90,1,0,100,3,3,2,4,4,1,19,1,4,3,4,1,1,6,3,3,7,32,1,20,0.516452651
2,3,1,1,70,1,0,20,3,3,9,2,3,1,80,2,2,4,4,4,4,6,1,3,26,42,1,2,0.782012106
2,3,2,1,100,1,3,50,1,1,1,4,1,1,30,2,2,3,4,1,4,1,1,1,5,47,1,13,0.84202368
